image_name	x_coord	y_coord
190207_U2OS_CPAP_Tub345_8	96	126
190207_U2OS_CPAP_Tub345_8	212	140
190207_U2OS_CPAP_Tub345_9	134	155
190207_U2OS_CPAP_Tub345_9	224	172
190207_U2OS_CPAP_Tub345_10	204	216
190207_U2OS_CPAP_Tub345_10	213	105
190207_U2OS_CPAP_Tub345_11	198	230
190207_U2OS_CPAP_Tub345_15	168	90
190207_U2OS_CPAP_Tub345_15	169	181
190207_U2OS_CPAP_Tub345_16	137	175
190207_U2OS_CPAP_Tub345_16	168	99
190207_U2OS_CPAP_Tub345_17	141	147
190207_U2OS_CPAP_Tub345_17	186	213
190207_U2OS_CPAP_Tub345_18	120	126
190207_U2OS_CPAP_Tub345_18	193	146
190207_U2OS_CPAP_Tub345_19	135	178
190207_U2OS_CPAP_Tub345_19	194	123
190207_U2OS_CPAP_Tub345_20	84	40
190207_U2OS_CPAP_Tub345_21	111	104
190207_U2OS_CPAP_Tub345_22	131	195
190207_U2OS_CPAP_Tub345_22	170	144
1912011_2X_AAFA_abTubs-A568_CPAP-A488_hyD3ter_21	150	134
1912011_2X_AAFA_abTubs-A568_CPAP-A488_hyD3ter_21	214	204
1912011_2X_AAFA_abTubs-A568_CPAP-A488_hyD3ter_22	117	177
1912011_2X_AAFA_abTubs-A568_CPAP-A488_hyD3ter_22	242	160
1912011_2X_AAFA_abTubs-A568_CPAP-A488_hyD3ter_23	163	117
20200205-U2OS-CEP97-Tubulin_1	193	102
20200205-U2OS-CEP97-Tubulin_2	180	207
20200205-U2OS-CEP97-Tubulin_2	225	108
20200205-U2OS-CEP97-Tubulin_3	124	174
20200205-U2OS-CEP97-Tubulin_3	216	148
20200205-U2OS-CEP97-Tubulin_4	143	186
20200205-U2OS-CEP97-Tubulin_6	187	111









	










